fleet,fleetname,type,area,units,selex,mirror,catch_start,catch_end,catch_kn,catch_mt,index_start,index_end,lencomp_start,lencomp_end,lencomp_nsamp,wcomp_start,wcomp_end,wcomp_nsamp
1,F1_US_Survey,1,1,2,24,0,,,0,0,,,1994,2009,1241,,,
2,F2_US_CA_LL,1,1,1,5,1,1981,1994,0.245893010326531,5.23632653061225,,,1987,1989,320,,,
3,F3_US_HI_SS_LL,1,1,2,24,0,1985,2022,0.687151530612245,33.0421777404082,,,2005,2021,2052,,,
4,F4_US_HI_DS_LL,1,1,2,24,0,1975,2022,1.04842736734694,80.1203762938776,,,2003,2018,1744,,,
5,F5_US_DGN,1,1,1,24,0,1981,2022,3.54379320408163,89.1393877551021,,,1982,2018,12637,,,
6,F6_US_REC,1,1,2,5,3,2005,2022,0.208612244897959,9.70593020408163,,,,,,,,
7,F7_JPN_SS_II,1,1,2,24,0,1994,2022,6.35436326530612,301.506428571429,,,2005,2022,111472,,,
8,F8_JP_DS_II,1,1,2,24,0,1992,2022,4.17490775510204,338.440079591837,,,2000,2011,2413,,,
9,F9_JPN_DGN_II,1,1,1,24,0,1994,2022,3.4496312244898,117.108775510204,,,2008,2022,10243,,,
10,F10_JPN_CST,1,1,1,24,0,1994,2022,1.16662604897959,49.3128571428571,,,2007,2020,2912,,,
11,F11_JPN_DS_I,1,1,1,5,8,1975,1991,2.87426285714286,229.632653061225,,,,,,,,
12,F12_JPN_DGN_I,1,1,1,5,9,1975,1992,2.28808020408163,77.1138775510204,,,,,,,,
13,F13_JPN_OTH,1,1,1,5,10,1994,2022,0.205373042857143,8.7230612244898,,,,,,,,
14,F14_JPN_SS_I,1,1,1,5,7,-999,1993,5.82159632653061,271.238979591837,,,,,,,,
15,F15_JPN_SS_DISC,1,1,2,24,0,1994,2022,0.638232448979592,6.45324224489796,,,2015,2019,362,,,
16,F16_JP_SML_DGN,1,1,2,5,7,1981,1992,0.242461224489796,11.5906271428571,,,,,,,,
17,F17_JPN_SS_III,1,1,2,24,0,2014,2016,0.938497959183674,36.9084489795918,,,2014,2016,38751,,,
18,F18_JPN_CST_DISC,1,1,1,5,10,1994,2022,0.102104437755102,4.31591836734694,,,,,,,,
19,F19_TW_LRG_N,1,1,2,24,0,1975,2022,0.434469387755102,23.2515545102041,,,2005,2022,2404,,,
20,F20_TW_LRG_S,1,1,2,24,0,1975,2022,0.572408163265306,19.6076250489796,,,2005,2020,2368,,,
21,F21_TW_SML,1,1,2,24,0,1989,2022,4.79767346938776,201.003469387755,,,,,,1989,2016,209873
22,F22_TW_LRG_DGN,1,1,1,5,9,1987,1992,0.617610612244898,21.1687755102041,,,,,,,,
23,F23_TW_SML_DGN,1,1,1,5,7,1981,1992,0.0124249673469388,0.593061224489796,,,,,,,,
24,F24_MEX_NOR,1,1,1,24,0,1976,2022,12.0516748979592,361.218367346939,,,2006,2021,6410,,,
25,F25_MEX_SOU,1,1,1,24,0,1976,2022,3.52969681632653,136.563265306122,,,2006,2022,2140,,,
26,F26_MEX_ART,1,1,1,5,5,2017,2022,5.51047755102041,139.481693877551,,,,,,,,
27,F27_CANADA,1,1,1,5,5,1980,2014,0.000251784489795918,0.0063265306122449,,,,,,,,
28,F28_CHINA,1,1,2,5,8,2002,2022,0.686448979591837,55.8745753061224,,,,,,,,
29,F29_KR,1,1,2,5,8,2010,2022,0.0169795918367347,1.37519853061225,,,,,,,,
30,F30_KR_SML_DGN,1,1,1,5,7,1981,1992,0.0863283367346939,4.13571428571429,,,,,,,,
31,F31_WCPFC_LL,1,1,2,5,8,2003,2022,0.432163265306123,35.3981141836735,,,,,,,,
32,F32_IATTC_PS,1,1,1,5,3,1975,2022,0.00107484712244898,0.0501224489795918,,,,,,,,
33,F33_IATTC_LL,1,1,2,5,8,,,0,0,,,,,,,,
34,S1:US-DE-LL-all,3,1,2,24,0,,,,,2000,2020,2005,2010,247,,,
35,S2:US-DE-LL-core,3,1,2,5,34,,,,,2000,2020,,,,,,
36,S3:Juvenile-Survey-LL,3,1,2,5,1,,,,,1994,2013,,,,,,
37,S4:TW-LA-LL,3,1,2,5,7,,,,,2005,2022,,,,,,
38,S5:TW-LA-LL-N,3,1,2,5,7,,,,,2005,2022,,,,,,
39,S6:TW-LA-LL-S,3,1,2,5,8,,,,,2005,2022,,,,,,
40,S7:JP-OF-DW-SH-LL-M3,3,1,2,5,7,,,,,1994,2022,,,,,,
41,S8:JP-OF-DW-SH-LL-M5,3,1,2,5,7,,,,,1994,2022,,,,,,
42,S9:JP-OF-DW-SH-LL-M3-core,3,1,2,5,7,,,,,1994,2022,,,,,,
43,S10:JP-OF-DW-SH-LL-M5-core,3,1,2,5,7,,,,,1994,2022,,,,,,
44,S11:JP-OF-DW-DE-LL-M7,3,1,2,5,8,,,,,1994,2022,,,,,,
45,S12:JP-OF-DW-DE-LL-core,3,1,2,5,8,,,,,1994,2022,,,,,,
46,S13:JP-OF-DW-SH-LL-juv,3,1,2,5,7,,,,,2006,2014,,,,,,
47,S14:JP-OF-DW-SH-LL-imm,3,1,2,5,7,,,,,2006,2014,,,,,,
48,S15:MX-Com-LL,3,1,2,5,24,,,,,2006,2022,,,,,,
49,S16:MX-Com-LL-N,3,1,2,5,24,,,,,2006,2022,,,,,,
50,S17:MX-Com-LL-S,3,1,2,5,25,,,,,2006,2022,,,,,,
